                   h                    v                    m                    t                    T 
                 1.0               -0.783                  1.0                  0.0   0.9028890182375908 
  0.9267030180712352  -0.7905022469532222   0.9642021853109201  0.09313333333333333   0.9240378758311273 
  0.8529539348926471  -0.7926418798463147   0.9275658397376537  0.18626666666666666   0.9448600398302079 
  0.7792740975669098  -0.7889364671328466   0.8901039296984672               0.2794   0.9651147501468659 
  0.7062321714931491  -0.7788531118690447   0.8518389914830526   0.3725333333333333   0.9844776535034181 
  0.6344486569716924  -0.7618074353956708    0.812806360900402   0.4656666666666667    1.002574006676674 
  0.5646009310451802  -0.7371592961124154   0.7730562356849511               0.5588     1.01902935898304 
  0.4974290511882034  -0.7042014359259878   0.7326536551276842   0.6519333333333333   1.0335140914320946 
 0.43374270021212086  -0.6621397934133592    0.691676831805706   0.7450666666666665   1.0457640407681466 
  0.3744306880187881  -0.6100653509238939   0.6502143228789171   0.8381999999999998   1.0555702605843544 
 0.32047309364310894  -0.5469189825748754   0.6083629832088947   0.9313333333333331   1.0627450135946275 
 0.27295715438569346  -0.4714497234309958   0.5662271768550079   1.0244666666666664   1.0670715279579164 
 0.23309710392963098 -0.38216755159302335   0.5239198620001475   1.1175999999999997    1.068243368446827 
 0.20225878237192416 -0.27729121861276995   0.4815660841484865    1.210733333333333   1.0658023449182512 
 0.18198902502950406 -0.15469174431629965   0.4393090573032697   1.3038666666666663    1.059092876136303 


